phonetic,head_in_shuowen,head_gloss,head_dx_fanqie,char,sw_id,relation,shuowen_gloss,daxu_fanqie,mc_bs2014,guangyun_position,mc_confidence,head_mc_bs2014,oc_bs2014,oc_bs_match,head_oc_bs2014,head_oc_bs_match,morph_relation_auto,morph_diff,src
巾,True,佩巾也。从冂，丨象糸也。凡巾之屬皆从巾。,居銀切,帟,4896,亦聲,在上曰帟。从巾亦聲。,羊益切,yek,以開三清入,identical_fanqie,kin,,not_in_bs,*krən,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,舌,1437,亦聲,在口，所以言也、別味也。从干从口，干亦聲。凡舌之屬皆从舌。,食列切,zyet,船開三仙入,identical_fanqie,kan,*mə.lat,mc_match,*kˤar,mc_match,C,"pre,ini,phar,coda",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,奸,8298,亦聲,犯婬也。从女从干，干亦聲。,古寒切,kan,見開一寒平,identical_fanqie,kan,*kˤa[r],mc_match,*kˤar,mc_match,I,;uncertain,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,玕,199,聲,琅玕也。从玉干聲。《禹貢》：“雝州球琳琅玕。”,古寒切,kan,見開一寒平,identical_fanqie,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,赶,1062,聲,舉尾走也。从走干聲。,巨言切,gjon,羣開三C元平,identical_fanqie,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,迀,1189,聲,進也。从辵干聲。讀若干。,古寒切,kan,見開一寒平,identical_fanqie,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,衎,1273,聲,行喜皃。从行干聲。,空旱切,khanX,溪開一寒上,identical_fanqie,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,𪗙,1301,聲,齒見皃。从齒干聲。,五版切,ngaenX,疑開二刪上,initial+rhyme+tone,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,訐,1679,聲,面相厈罪，相告訐也。从言干聲。,居謁切,kjot,見開三C元入,initial+rhyme+tone,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,靬,1785,聲,靬，乾革也。武威有麗靬縣。从革干聲。,苦旰切,khanH,溪開一寒去,identical_fanqie,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,皯,1982,聲,面黑气也。从皮干聲。,古旱切,kanX,見開一寒上,identical_fanqie,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,盰,2106,聲,目多白也。一曰張目也。从目干聲。,古旱切,kanH,見開一寒去,initial_only,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,鼾,2226,聲,臥息也。从鼻干聲。讀若汗。,矦幹切,hanH,匣開一寒去,initial+rhyme+tone,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,骭,2573,聲,骹也。从骨干聲。,古案切,kanH,見開一寒去,identical_fanqie,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,肝,2598,聲,木藏也。从肉干聲。,古寒切,kan,見開一寒平,identical_fanqie,kan,*s.kˤa[r],mc_match,*kˤar,mc_match,R,pre;uncertain,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,刊,2761,聲,剟也。从刀干聲。,苦寒切,khan,溪開一寒平,identical_fanqie,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,竿,2937,聲,竹梃也。从竹干聲。,古寒切,kan,見開一寒平,identical_fanqie,kan,*kˤar,mc_match,*kˤar,mc_match,I,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,邗,4123,聲,國也，今屬臨淮。从邑干聲。一曰邗本屬吳。,胡安切,han,匣開一寒平,identical_fanqie,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,旰,4197,聲,晚也。从日干聲。《春秋傳》曰：“日旰君勞。”,古案切,kanH,見開一寒去,identical_fanqie,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,旱,4209,聲,不雨也。从日干聲。,乎旰切,hanX,匣開一寒上,initial_only,kan,*[g]ˤa[r]ʔ,mc_match,*kˤar,mc_match,O,"ini,suf;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,䍑,4793,聲,网也。从网干聲。,呼旱切,,,none,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,衦,5312,聲,摩展衣。从衣干聲。,古案切,kanX,見開一寒上,initial_only,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,岸,5887,聲,水厓而高者。从屵干聲。,五旰切,nganH,疑開一寒去,identical_fanqie,kan,*[ŋ]ˤa[r]-s,mc_match,*kˤar,mc_match,O,"ini,suf;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,豻,6093,聲,胡地野狗。从豸干聲。,五旰切,nganH,疑開一寒去,identical_fanqie,kan,*m-[ɢ]ˤa[r]-s,mc_match,*kˤar,mc_match,O,"pre,ini,suf;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,㶣,6410,聲,小熱也。从火干聲。《詩》曰：“憂心㶣㶣。”,直廉切,drjem,澄開三鹽平,identical_fanqie,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,忓,6766,聲,極也。从心干聲。,古寒切,kan,見開一寒平,identical_fanqie,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,汗,7397,聲,人液也。从水干聲。,矦旰切,hanH,匣開一寒去,initial+rhyme+tone,kan,*Cə.[g]ˤa[r]-s,mc_match,*kˤar,mc_match,O,"pre,ini,suf;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,閈,7700,聲,門也。从門干聲。汝南平輿里門曰閈。,侯旰切,hanH,匣開一寒去,identical_fanqie,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,扞,8026,聲,忮也。从手干聲。,矦旰切,hanH,匣開一寒去,initial+rhyme+tone,kan,*m-kˤa[r]-s,mc_match,*kˤar,mc_match,R,"pre,suf;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,釬,9366,聲,臂鎧也。从金干聲。,矦旰切,hanH,匣開一寒去,initial+rhyme+tone,kan,,not_in_bs,*kˤar,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
干,True,犯也。从反入，从一。凡干之屬皆从干。,古寒切,軒,9466,聲,曲輈藩車。从車干聲。,虚言切,xjon,曉開三C元平,rhyme+tone_only,kan,*qʰa[r],mc_match,*kˤar,mc_match,O,"ini,phar;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
平,True,語平舒也。从亏从八。八，分也。爰禮說。,符兵切,枰,3786,亦聲,平也。从木从平，平亦聲。,蒲兵切,bjaeng,並三B庚平,initial+rhyme+tone,bjaeng,,not_in_bs,*breŋ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
平,True,語平舒也。从亏从八。八，分也。爰禮說。,符兵切,坪,8982,亦聲,地平也。从土从平，平亦聲。,皮命切,bjaengH,並三B庚去,identical_fanqie,bjaeng,,not_in_bs,*breŋ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
平,True,語平舒也。从亏从八。八，分也。爰禮說。,符兵切,苹,279,聲,蓱也。無根，浮水而生者。从艸平聲。,符兵切,bjaeng,並三B庚平,identical_fanqie,bjaeng,*[b]ˤeŋ,single_reading,*breŋ,mc_match,R,"phar,med;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
平,True,語平舒也。从亏从八。八，分也。爰禮說。,符兵切,𤘾,743,聲,牛駁如星。从牛平聲。,普耕切,pheang,滂二耕平,identical_fanqie,bjaeng,,not_in_bs,*breŋ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
平,True,語平舒也。从亏从八。八，分也。爰禮說。,符兵切,䶄,6363,聲,䶄令鼠。从鼠平聲。,薄經切,beng,並四青平,identical_fanqie,bjaeng,,not_in_bs,*breŋ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
平,True,語平舒也。从亏从八。八，分也。爰禮說。,符兵切,泙,7178,聲,谷也。从水平聲。,符兵切,bjaeng,並三B庚平,identical_fanqie,bjaeng,,not_in_bs,*breŋ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
平,True,語平舒也。从亏从八。八，分也。爰禮說。,符兵切,抨,8005,聲,撣也。从手平聲。,普耕切,pheang,滂二耕平,identical_fanqie,bjaeng,,not_in_bs,*breŋ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
廣,True,殿之大屋也。从广黃聲。,古晃切,懬,6719,亦聲,闊也。一曰廣也，大也。一曰寬也。从心从廣，廣亦聲。,苦謗切,khangX,溪開一唐上,initial_only,kwangX,,not_in_bs,*kʷˤaŋʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
廣,True,殿之大屋也。从广黃聲。,古晃切,櫎,3703,聲,所以几器。从木廣聲。一曰帷屏風之屬。,胡廣切,hwangX,匣合一唐上,identical_fanqie,kwangX,,not_in_bs,*kʷˤaŋʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
廣,True,殿之大屋也。从广黃聲。,古晃切,曠,4182,聲,明也。从日廣聲。,苦謗切,khwangH,溪合一唐去,identical_fanqie,kwangX,*kʷʰˤaŋ-s,mc_match,*kʷˤaŋʔ,mc_match,O,"ini,suf",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
廣,True,殿之大屋也。从广黃聲。,古晃切,穬,4380,聲,芒粟也。从禾廣聲。,百猛切,kwaengX,見合二庚上,rhyme+tone_only,kwangX,,not_in_bs,*kʷˤaŋʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
廣,True,殿之大屋也。从广黃聲。,古晃切,獷,6301,聲,犬獷獷不可附也。从犬廣聲。漁陽有獷平縣。,古猛切,kwaengX,見合二庚上,identical_fanqie,kwangX,,not_in_bs,*kʷˤaŋʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
廣,True,殿之大屋也。从广黃聲。,古晃切,纊,8685,聲,絮也。从糸廣聲。《春秋傳》曰：“皆如挾纊。”,苦謗切,khwangH,溪合一唐去,identical_fanqie,kwangX,*kʷʰˤaŋ-s,mc_match,*kʷˤaŋʔ,mc_match,O,"ini,suf",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
廣,True,殿之大屋也。从广黃聲。,古晃切,壙,9069,聲,塹穴也。一曰大也。从土廣聲。,苦謗切,khwangH,溪合一唐去,identical_fanqie,kwangX,*kʷʰˤaŋ-s,mc_match,*kʷˤaŋʔ,mc_match,O,"ini,suf",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
延,True,長行也。从㢟丿聲。,以然切,挻,7862,亦聲,長也。从手从延，延亦聲。,式連切,syen,書開三仙平,identical_fanqie,yen,,not_in_bs,*la[n],mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
延,True,長行也。从㢟丿聲。,以然切,唌,925,聲,語唌嘆也。从口延聲。,夕連切,dan,定開一寒平,no_match_first_reading,yen,,not_in_bs,*la[n],mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
延,True,長行也。从㢟丿聲。,以然切,誕,1641,聲,詞誕也。从言延聲。,徒旱切,danX,定開一寒上,identical_fanqie,yen,,not_in_bs,*la[n],mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
延,True,長行也。从㢟丿聲。,以然切,脠,2687,聲,生肉醬也。从肉延聲。,丑連切,trhjen,徹開三仙平,initial+rhyme+tone,yen,,not_in_bs,*la[n],mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
延,True,長行也。从㢟丿聲。,以然切,筵,2899,聲,竹席也。从竹延聲。《周禮》曰：“度堂以筵。”筵一丈。,以然切,yen,以開三仙平,identical_fanqie,yen,*la[n],mc_match,*la[n],mc_match,I,;uncertain,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
延,True,長行也。从㢟丿聲。,以然切,梴,3582,聲,長木也。从木延聲。《詩》曰：“松桷有梴。”,丑連切,trhjen,徹開三仙平,initial+rhyme+tone,yen,,not_in_bs,*la[n],mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
延,True,長行也。从㢟丿聲。,以然切,郔,4110,聲,鄭地。从邑延聲。,以然切,yen,以開三仙平,identical_fanqie,yen,,not_in_bs,*la[n],mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
延,True,長行也。从㢟丿聲。,以然切,䘰,5344,聲,車溫也。从衣延聲。,式連切,syen,書開三仙平,identical_fanqie,yen,,not_in_bs,*la[n],mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
延,True,長行也。从㢟丿聲。,以然切,硟,6013,聲,以石扞繒也。从石延聲。,尺戰切,tsyhenH,昌開三仙去,initial+rhyme+tone,yen,,not_in_bs,*la[n],mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
延,True,長行也。从㢟丿聲。,以然切,蜑,8894,聲,南方夷也。从虫延聲。,徒旱切,danX,定開一寒上,identical_fanqie,yen,,not_in_bs,*la[n],mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
延,True,長行也。从㢟丿聲。,以然切,埏,9107,聲,八方之地也。从土延聲。,以然切,yen,以開三仙平,identical_fanqie,yen,,not_in_bs,*la[n],mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
延,True,長行也。从㢟丿聲。,以然切,鋋,9354,聲,小矛也。从金延聲。,市連切,dzyen,常開三仙平,identical_fanqie,yen,,not_in_bs,*la[n],mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
廾,False,,,菐,1745,亦聲,瀆菐也。从丵从廾，廾亦聲。凡菐之屬皆从菐。,蒲沃切,buwk,並一東入,initial_only,kjowng,,not_in_bs,*k(r)oŋʔ,single_reading,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
廾,False,,,弈,1763,亦聲,圍棊也。从廾亦聲。《論語》曰：“不有博弈者乎！”,羊益切,yek,以開三清入,identical_fanqie,kjowng,*[ɢ](r)Ak,mc_match,*k(r)oŋʔ,single_reading,C,"ini,v,coda,suf;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弋,True,橜也。象折木衺銳著形。从𠂆，象物挂之也。,與職切,必,717,亦聲,分極也。从八、弋，弋亦聲。,卑吉切,pjit,幫三A真入,identical_fanqie,yik,*pi[t],mc_match,*lək,mc_match,C,"ini,v,coda;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弋,True,橜也。象折木衺銳著形。从𠂆，象物挂之也。,與職切,隿,2303,聲,繳射飛鳥也。从隹弋聲。,與職切,yik,以開三蒸入,identical_fanqie,yik,,not_in_bs,*lək,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弋,True,橜也。象折木衺銳著形。从𠂆，象物挂之也。,與職切,式,3015,聲,法也。从工弋聲。,賞職切,syik,書開三蒸入,identical_fanqie,yik,*l̥ək,mc_match,*lək,mc_match,O,ini,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弋,True,橜也。象折木衺銳著形。从𠂆，象物挂之也。,與職切,杙,3463,聲,劉，劉杙。从木弋聲。,与職切,yik,以開三蒸入,initial+rhyme+tone,yik,,not_in_bs,*lək,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弋,True,橜也。象折木衺銳著形。从𠂆，象物挂之也。,與職切,貣,3935,聲,从人求物也。从貝弋聲。,他得切,thok,透開一登入,initial+rhyme+tone,yik,,not_in_bs,*lək,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弋,True,橜也。象折木衺銳著形。从𠂆，象物挂之也。,與職切,代,5059,聲,更也。从人弋聲。,徒耐切,dojH,定開一咍去,identical_fanqie,yik,*lˤək-s,mc_match,*lək,mc_match,R,"phar,suf",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弋,True,橜也。象折木衺銳著形。从𠂆，象物挂之也。,與職切,忒,6788,聲,更也。从心弋聲。,他得切,thok,透開一登入,initial+rhyme+tone,yik,*l̥ˤək,mc_match,*lək,mc_match,O,"ini,phar",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弋,True,橜也。象折木衺銳著形。从𠂆，象物挂之也。,與職切,㚤,8122,聲,婦官也。从女弋聲。,與職切,yik,以開三蒸入,identical_fanqie,yik,,not_in_bs,*lək,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弋,True,橜也。象折木衺銳著形。从𠂆，象物挂之也。,與職切,䣧,9784,聲,酒色也。从酉弋聲。,與職切,yik,以開三蒸入,identical_fanqie,yik,,not_in_bs,*lək,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弟,True,韋束之次弟也。从古字之象。凡弟之屬皆从弟。,特計切,娣,8109,亦聲,女弟也。从女从弟，弟亦聲。,徒禮切,dejX,定開四齊上,identical_fanqie,dejH,*lˤəjʔ,mc_match,*lˤəjʔ,single_reading,I,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弟,True,韋束之次弟也。从古字之象。凡弟之屬皆从弟。,特計切,睇,2195,聲,目小視也。从目弟聲。南楚謂眄曰睇。,特計切,dejH,定開四齊去,identical_fanqie,dejH,*lˤəj-s,mc_match,*lˤəjʔ,single_reading,R,suf,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弟,True,韋束之次弟也。从古字之象。凡弟之屬皆从弟。,特計切,梯,3717,聲,木階也。从木弟聲。,土雞切,thej,透開四齊平,identical_fanqie,dejH,*l̥ˤ[ə]j,mc_match,*lˤəjʔ,single_reading,O,"ini,suf;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弟,True,韋束之次弟也。从古字之象。凡弟之屬皆从弟。,特計切,鬀,5733,聲,𩮜髮也。从髟弟聲。大人曰髡，小人曰鬀，盡及身毛曰𩮜。,他計切,thejH,透開四齊去,identical_fanqie,dejH,,not_in_bs,*lˤəjʔ,single_reading,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弟,True,韋束之次弟也。从古字之象。凡弟之屬皆从弟。,特計切,悌,6944,聲,善兄弟也。从心弟聲。經典通用弟。,特計切,dejH,定開四齊去,identical_fanqie,dejH,,not_in_bs,*lˤəjʔ,single_reading,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弟,True,韋束之次弟也。从古字之象。凡弟之屬皆从弟。,特計切,涕,7399,聲,泣也。从水弟聲。,他禮切,thejX,透開四齊上,identical_fanqie,dejH,*[l̥]ˤ[ə]jʔ,mc_match,*lˤəjʔ,single_reading,O,ini;uncertain,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
弟,True,韋束之次弟也。从古字之象。凡弟之屬皆从弟。,特計切,鮷,7591,聲,大鮎也。从魚弟聲。,杜兮切,dej,定開四齊平,initial+rhyme+tone,dejH,,not_in_bs,*lˤəjʔ,single_reading,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
