phonetic,head_in_shuowen,head_gloss,head_dx_fanqie,char,sw_id,relation,shuowen_gloss,daxu_fanqie,mc_bs2014,guangyun_position,mc_confidence,head_mc_bs2014,oc_bs2014,oc_bs_match,head_oc_bs2014,head_oc_bs_match,morph_relation_auto,morph_diff,src
不,True,鳥飛上翔不下來也。从一，一猶天也。象形。凡不之屬皆从不。,方久切,肧,2586,聲,婦孕一月也。从肉不聲。,匹桮切,phwoj,滂一灰平,initial+rhyme+tone,pjuwX,,not_in_bs,,multiple_readings,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
不,True,鳥飛上翔不下來也。从一，一猶天也。象形。凡不之屬皆从不。,方久切,衃,3154,聲,凝血也。从血不聲。,芳桮切,phwoj,滂一灰平,initial+rhyme+tone,pjuwX,,not_in_bs,,multiple_readings,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
不,True,鳥飛上翔不下來也。从一，一猶天也。象形。凡不之屬皆从不。,方久切,𩑢,5595,聲,曲頤也。从頁不聲。,薄回切,bwoj,並一灰平,identical_fanqie,pjuwX,,not_in_bs,,multiple_readings,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
不,True,鳥飛上翔不下來也。从一，一猶天也。象形。凡不之屬皆从不。,方久切,紑,8591,聲,白鮮衣皃。从糸不聲。《詩》曰：“素衣其紑。”,匹丘切,phjuw,滂三C尤平,initial+rhyme+tone,pjuwX,,not_in_bs,,multiple_readings,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
不,True,鳥飛上翔不下來也。从一，一猶天也。象形。凡不之屬皆从不。,方久切,坏,9087,聲,丘再成者也。一曰瓦未燒。从土不聲。,芳桮切,,,none,pjuwX,,not_in_bs,,multiple_readings,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丑,True,紐也。十二月，萬物動，用事。象手之形。時加丑，亦舉手時也。凡丑之屬皆从丑。,敕九切,羞,9743,亦聲,進獻也。从羊，羊，所進也；从丑，丑亦聲。,息流切,sjuw,心三尤平,identical_fanqie,trhjuwX,*s-nu,mc_match,*[n̥]ruʔ,mc_match,O,"pre,ini,med,suf;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丑,True,紐也。十二月，萬物動，用事。象手之形。時加丑，亦舉手時也。凡丑之屬皆从丑。,敕九切,衄,3157,聲,鼻出血也。从血丑聲。,女六切,nrjuwk,孃三東入,identical_fanqie,trhjuwX,,not_in_bs,*[n̥]ruʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丑,True,紐也。十二月，萬物動，用事。象手之形。時加丑，亦舉手時也。凡丑之屬皆从丑。,敕九切,𩚖,3206,聲,雜飯也。从食丑聲。,女久切,nrjuwH,孃三尤去,initial_only,trhjuwX,,not_in_bs,*[n̥]ruʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丑,True,紐也。十二月，萬物動，用事。象手之形。時加丑，亦舉手時也。凡丑之屬皆从丑。,敕九切,𨙺,4143,聲,地名。从邑丑聲。,女九切,nrjuwX,孃三尤上,initial+rhyme+tone,trhjuwX,,not_in_bs,*[n̥]ruʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丑,True,紐也。十二月，萬物動，用事。象手之形。時加丑，亦舉手時也。凡丑之屬皆从丑。,敕九切,粈,4479,聲,雜飯也。从米丑聲。,女久切,nyuwX,日三尤上,rhyme+tone_only,trhjuwX,,not_in_bs,*[n̥]ruʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丑,True,紐也。十二月，萬物動，用事。象手之形。時加丑，亦舉手時也。凡丑之屬皆从丑。,敕九切,狃,6308,聲,犬性驕也。从犬丑聲。,女久切,nrjuwX,孃三尤上,identical_fanqie,trhjuwX,*Cə.n<r>uʔ,mc_match,*[n̥]ruʔ,mc_match,O,"pre,ini;uncertain",说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
丑,True,紐也。十二月，萬物動，用事。象手之形。時加丑，亦舉手時也。凡丑之屬皆从丑。,敕九切,沑,7317,聲,水吏也。又，溫也。从水丑聲。,人九切,nyuwX,日三尤上,identical_fanqie,trhjuwX,,not_in_bs,*[n̥]ruʔ,mc_match,NA,,说文: shuowenjiezi/shuowen; 广韵: tshet-uinh 0.15.1; BS2014: digling/cddb Baxter2014/raw/D_ocbs.tsv
