group,series,char,ids,guangyun_all_readings,code_core,note,src
layer2_later,句,𠣪,⿰句句,羣合三C虞平 其俱切 gju,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,𢂁,⿰巾句,溪一侯平 恪侯切 khuw,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,𤘽,⿰牛句,曉一侯上 呼后切 xuwX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,𦊒,⿱罒句,見一侯上 古厚切 kuwX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,𧯠,⿰豆句,端一侯平 當侯切 tuw,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,句,𪓞,⿺黽句,羣合三C虞平 其俱切 gju | 見一侯平 古侯切 kuw,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,皮,㢰,⿰弓皮,並三B支去 平義切 bjeH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,皮,㱟,⿰歹皮,滂三B支平 敷羈切 phje | 滂三B支上 匹靡切 phjeX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,皮,佊,⿰亻皮,幫三B支上 甫委切 pjeX | 幫三B支去 彼義切 pjeH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,皮,狓,⿰犭皮,滂三B支平 敷羈切 phje,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,皮,玻,⿰王皮,滂一歌平 滂禾切 pha,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,皮,秛,⿰禾皮,滂三B支平 敷羈切 phje | 滂三B支去 披義切 phjeH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,皮,翍,⿰羽皮,滂三B支平 敷羈切 phje,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,皮,耚,⿰耒皮,滂三B支平 敷羈切 phje,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,皮,骳,⿰骨皮,明三B支上 文彼切 mjeX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,皮,𤱍,⿰田皮,滂三B支平 敷羈切 phje,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,皮,𤿎,⿰比皮,滂三B支平 敷羈切 phje | 滂三A支平 匹支切 phjie,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,皮,𤿙,⿱此皮,並三B支去 平義切 bjeH | 莊開三支去 爭義切 tsrjeH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,兼,㽐,⿰甘兼,曉開四添平 許兼切 xem,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,兼,㾾,⿸疒兼,曉開四添平 許兼切 xem,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,兼,嵰,⿰山兼,溪開三B鹽上 丘檢切 khjemX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,兼,膁,⿰月兼,溪開四添上 苦簟切 khemX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,兼,豏,⿰豆兼,匣開二咸上 下斬切 heamX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,兼,馦,⿰香兼,曉開四添平 許兼切 xem,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,兼,鹻,⿰鹵兼,見開二咸上 古斬切 keamX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,兼,𥻧,⿰米兼,見開四添平 古甜切 kem,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,兼,𦋰,⿱罒兼,見開四添平 古甜切 kem,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,巠,䀴,⿰目巠,疑開四青上 五剄切 ngengX | 疑開四青上 五冷切 ngengX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,巠,䪫,⿰音巠,匣開二耕平 戶耕切 heang,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,巠,俓,⿰亻巠,疑開四先平 五堅切 ngen | 疑開二耕平 五莖切 ngeang | 見開四青去 古定切 kengH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,巠,烴,⿰火巠,見開四青上 古挺切 kengX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,巠,硜,⿰石巠,溪開二耕平 口莖切 kheang,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,巠,誙,⿰言巠,溪開二耕平 口莖切 kheang,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,巠,踁,⿰𧾷巠,匣開四青去 胡定切 hengH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,巠,逕,⿺辶巠,見開四青去 古定切 kengH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,巠,𠗊,⿰冫巠,羣開三A清上 巨郢切 gjiengX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,巠,𠲮,⿰口巠,見開四青去 古定切 kengH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,巠,𩈡,⿰面巠,曉開三A清去 許令切 xjiengH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,巠,𩰹,⿰鬲巠,見開四青去 古定切 kengH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,巠,𩳍,⿺鬼巠,影開四青上 烟涬切 'engX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叚,婽,⿰女叚,見開二麻上 古疋切 kaeX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叚,煆,⿰火叚,曉開二麻平 許加切 xae | 曉開二麻去 呼訝切 xaeH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叚,犌,⿰牛叚,見開二麻平 古牙切 kae,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叚,猳,⿰犭叚,見開二麻平 古牙切 kae,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叚,貑,⿰豸叚,見開二麻平 古牙切 kae,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叚,𣮫,⿱叚毛,見開二麻平 古牙切 kae,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叚,𩋥,⿰革叚,匣開二麻平 胡加切 hae,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,叚,𩩱,⿰骨叚,溪開二麻去 枯駕切 khaeH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,冓,㗕,⿰口冓,見一侯平 古侯切 kuw,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,冓,㝤,⿱宀冓,見一侯去 古候切 kuwH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,冓,䃓,⿰石冓,見一侯去 古候切 kuwH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,冓,傋,⿰亻冓,見二江上 古項切 kaewngX | 曉二江上 虛慃切 xaewngX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,冓,搆,⿰扌冓,見一侯去 古候切 kuwH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,冓,煹,⿰火冓,見一侯去 古候切 kuwH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,冓,耩,⿰耒冓,見二江上 古項切 kaewngX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,冓,褠,⿰衤冓,見一侯平 古侯切 kuw,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,冓,𢞡,⿰忄冓,曉二江上 虛慃切 xaewngX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,堯,㚁,⿰堯堯,溪開三B宵去 丘召切 khjewH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,堯,䰫,⿺鬼堯,初開二肴平 楚交切 tsrhaew | 崇開二肴上 士絞切 dzraewX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,堯,墝,⿰土堯,溪開二肴平 口交切 khaew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,堯,憢,⿰忄堯,曉開四蕭平 許幺切 xew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,堯,穘,⿰禾堯,曉開二肴平 許交切 xaew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,堯,襓,⿰衤堯,日開三宵平 如招切 nyew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,堯,蹺,⿰𧾷堯,溪開三A宵平 去遙切 khjiew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,堯,遶,⿺辶堯,日開三宵上 而沼切 nyewX,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,堯,𡽧,⿸屵堯,孃開二肴平 女交切 nraew,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
layer2_later,堯,𨎬,⿰車堯,見開四蕭去 古弔切 kewH,,非《说文》字头；未编码,IDS: cjkvi-ids; 广韵: tshet-uinh 0.15.1
